Trial,Val_Acc,LR,WD,Dropout,Optimizer,Scheduler,Label_Smooth
13,0.4221,0.006482,0.000085,0.122,sgd,step,0.106
1,0.3959,0.000148,0.000570,0.352,sgd,onecycle,0.193
0,0.3815,0.000035,0.001202,0.480,adamw,onecycle,0.049
7,0.3076,0.000065,0.000066,0.002,adamw,cosine,0.137
4,0.2052,0.000018,0.004115,0.282,sgd,onecycle,0.016
3,0.1150,0.005657,0.000499,0.309,adamw,step,0.125
2,0.0101,0.003697,0.000040,0.033,adamw,onecycle,0.090
6,0.0000,0.003034,0.000266,0.315,sgd,cosine,0.134
26,0.0000,0.000050,0.001941,0.412,adamw,onecycle,0.071
28,0.0000,0.000490,0.001419,0.376,sgd,onecycle,0.069
