Trial,Val_Acc,LR,WD,Dropout,Optimizer,Scheduler,Label_Smooth
53,0.7452,0.005967,0.002252,0.401,sgd,step,0.098
71,0.7321,0.000658,0.012398,0.280,adamw,step,0.160
70,0.7253,0.005364,0.015901,0.276,adamw,step,0.162
51,0.6969,0.002718,0.002798,0.401,sgd,step,0.160
0,0.0000,0.000604,0.000053,0.317,sgd,onecycle,0.163
1,0.0000,0.002435,0.013360,0.339,adamw,step,0.173
2,0.0000,0.000442,0.000288,0.033,adamw,onecycle,0.133
3,0.0000,0.001327,0.000538,0.230,adamw,step,0.173
4,0.0000,0.000040,0.046702,0.496,adamw,step,0.154
5,0.0000,0.000011,0.000505,0.483,adamw,cosine,0.003
